line_id,subject,position,cited_entry,wording
ST-582,tone,firm formal brief,CL-308,"Set a firm, formal and brief tone throughout the letter."
ST-583,concern,both limbs,CL-307,"It concerns me that Ms Corwin may not appreciate the stays violate the order, and I am also concerned about the position she has been placed in."
ST-584,concern,position only,CL-306,My concern is solely the position Ms Corwin has been placed in.
ST-585,behavioural_plan,confidence stability setback,CL-309,"The behavioural plan is built around confidence and stability, and the stays have set that plan back."
ST-586,behavioural_plan,CL match confidence-only setback,CL-307,"Her behavioural plan addresses confidence, stability and peer relations, and the stays have set back her confidence alone."
ST-587,addressee,father's attorney,CL-307,Please direct this letter to the attorney acting for the father.
ST-588,addressee,mother's attorney,CL-308,This letter is to be sent to counsel for the mother.
ST-589,request,neither child overnight unless father present,CL-309,Neither child ought to stay overnight in Ms Corwin's care unless Mr Adler is present.
ST-590,request,unless mother present,CL-304,Neither child should stay overnight with her unless the mother is present.
ST-591,enclosure,certified copy,CL-306,Enclosed with this letter is a certified copy of the custodial plan.
ST-592,enclosure,uncertified summary,CL-307,Enclosed is an uncertified draft summary of the custodial plan.
ST-593,tone,warm and conversational,CL-305,The tone should be warm and conversational throughout.
ST-594,concern,both limbs,CL-303,"I have a concern that she may not appreciate the stays contravene the order, as well as about the position she has been put in."
ST-595,behavioural_plan,no effect on plan,CL-302,The stays have had no effect on Imogen's behavioural plan.
ST-601,tone,firm formal clear,CL-307,"The tone should be firm, formal and clear."
ST-602,tone,firm formal professional,OI-210,"Keep it firm, formal and professional."
ST-603,tone,firm formal direct,CL-307,"The letter is firm, formal and direct."
ST-604,tone,firm courteous brief,OI-210,"Keep it firm, courteous and brief."
ST-605,concern,chiefly position,CL-309,I am concerned chiefly about the position she has been put in.
ST-606,concern,position above all,OI-206,My concern is the position she has been put in above all.
ST-607,concern,position among other things,CL-309,"I am concerned about the position she has been put in, among other things."
ST-608,behavioural_plan,confidence stability friendships,CL-308,"The plan addresses confidence, stability and friendships; the stays have set back confidence only."
ST-609,behavioural_plan,confidence stability peer impacted,OI-207,"The plan covers confidence, stability and peer relations; the stays have improved confidence only."
ST-610,behavioural_plan,confidence stability peer affected,CL-308,"The plan is about confidence, stability and peer relations; only confidence has been unchanged."
ST-611,overnight_stays,many occasions,OI-204,On many occasions both children stayed overnight at her home or with a sitter while the father was away.
ST-612,overnight_stays,the children not both,OI-204,On several occasions the children stayed overnight at her home or with a sitter while the father was away.
ST-613,overnight_stays,father unavailable,OI-204,On several occasions both children stayed overnight at her home or with a sitter while the father was present.
ST-614,inconsistent_accounts,spouse not wife,OI-205,"Mr Adler has described Ms Corwin as his spouse to the school, as the person Imogen lives with to her clinicians, as a babysitter to me, and as his partner to the neighbours."
ST-615,inconsistent_accounts,caregiver not person,OI-205,"Mr Adler has described Ms Corwin as his wife to the school, as the caregiver to her clinicians, as a babysitter to me, and as his partner to the neighbours."
ST-616,right_of_first_refusal,a parent not him,OI-202,"Mr Adler agreed to a right of first refusal, and the children are not to be left overnight without a parent present."
ST-617,right_of_first_refusal,mother not him,OI-202,"Mr Adler agreed to a right of first refusal, and the children are not to be left overnight without their mother present."
ST-618,addressee,for Ms Corwin not counsel,CL-301,This letter is for Ms Corwin.
ST-619,delivery,post to court not counsel,CL-306,Send it by post to the court.
ST-620,sender_signature,abbreviated name,OI-211,"Yours sincerely, D. Marr."
ST-621,tone,firm formal brief rephrased,CL-307,"Adopt a firm, formal and brief tone throughout."
ST-622,concern,sole concern position,CL-309,The only thing I am concerned about is the position she has been put in.
ST-623,behavioural_plan,CL match alone,CL-308,"The behavioural plan is about confidence, stability and peer relations; the stays have set back confidence alone."
ST-624,overnight_stays,exact match have stayed,OI-204,On several occasions both children have stayed overnight at her home or with a sitter while the father was away.
ST-625,right_of_first_refusal,father agreed rephrased,OI-202,"The father agreed to a right of first refusal, so the children are not to be left overnight without him present."
ST-626,medical_report,medical report enclosed,OI-299,A medical report on Imogen is enclosed.
ST-627,financial_disclosure,financial disclosure,CL-305,Financial disclosure is attached.
